Timeframe,Open,High,Low,Close,Volume
1586714400000,6626.77,6674.11,6446.35,6447.0,13.076994
1586736000000,6447.0,6447.0,6180.0,6283.76,34.414874
1586757600000,6267.95,6373.1,6088.95,6321.73,48.027571
1586779200000,6321.73,6321.73,6115.6,6274.45,19.051419
1586800800000,6274.45,6392.94,6231.33,6343.99,13.404936
1586822400000,6343.0,6390.0,6311.43,6366.51,3.351851
1586844000000,6334.71,6382.0,6240.93,6322.76,20.464673
1586865600000,6316.23,6420.0,6271.57,6389.31,21.406557
1586887200000,6389.31,6418.8,6295.07,6310.91,7.61678
1586908800000,6310.0,6375.02,6285.15,6336.7,2.513638
1586930400000,6336.7,6383.96,6250.0,6272.56,22.564671
1586952000000,6283.98,6322.03,6200.0,6227.06,32.561146
1586973600000,6227.09,6344.82,6151.0,6151.02,27.625326
1586995200000,6151.0,6228.46,6043.55,6164.56,25.370514
1587016800000,6198.57,6600.0,6176.74,6539.98,25.266587
1587038400000,6521.68,6580.5,6459.41,6529.97,31.652923
1587060000000,6529.97,6660.0,6490.8,6597.19,23.531166
1587081600000,6600.0,6616.0,6529.16,6555.0,3.427572
1587103200000,6555.0,6635.32,6525.87,6601.77,23.485876
1587124800000,6597.55,6626.63,6500.0,6538.0,13.483387
1587146400000,6538.0,6600.0,6505.05,6510.0,6.570172
1587168000000,6510.0,6593.58,6510.0,6576.42,1.173738
1587189600000,6576.42,6596.97,6534.15,6596.97,4.102856
1587211200000,6599.99,6719.8,6558.0,6679.96,27.248884
1587232800000,6679.95,6793.8,6633.78,6707.4,23.787312
1587254400000,6707.4,6730.13,6600.0,6610.0,4.792162
1587276000000,6630.52,6663.65,6605.0,6653.13,5.703118
1587297600000,6653.16,6676.85,6555.51,6650.0,11.199084
1587319200000,6623.83,6673.72,6597.41,6630.53,5.6050889999999995
1587340800000,6616.31,6688.0,6581.51,6656.99,2.908449
1587362400000,6660.59,6666.13,6450.0,6472.61,17.363563
1587384000000,6450.39,6575.0,6360.21,6382.0,24.259762
1587405600000,6382.0,6455.05,6281.68,6364.18,29.430294
1587427200000,6339.32,6421.92,6338.86,6379.45,2.098572
1587448800000,6408.96,6420.43,6288.0,6339.21,12.408296
1587470400000,6320.0,6687.0,6318.26,6421.3,39.670247
1587492000000,6412.29,6441.43,6378.16,6378.91,10.121211
1587513600000,6378.91,6405.99,6342.25,6405.99,3.091206
1587535200000,6422.22,6499.92,6387.28,6475.25,9.403139
1587556800000,6475.25,6685.23,6445.18,6580.5,53.579854
1587578400000,6604.99,6639.0,6578.13,6635.42,5.028735
1587600000000,6638.71,6666.0,6607.02,6607.02,4.578834
1587621600000,6611.99,6659.5,6523.71,6659.5,10.079993
1587643200000,6659.5,7189.8,6640.36,7030.0,51.840955
1587664800000,7030.0,7088.87,6911.55,6966.3,18.684183
1587686400000,6974.6,7028.67,6951.72,6984.9,3.33865
1587708000000,6985.0,7120.0,6985.0,7022.08,49.444505
1587729600000,7022.33,7043.14,6912.02,7009.0,20.236271
1587751200000,7009.0,7042.68,6980.0,6980.02,8.100404
1587772800000,6981.85,7036.36,6947.77,7036.36,2.182941
1587794400000,7038.37,7081.52,7011.08,7023.8,7.569635
1587816000000,7023.79,7164.0,7000.0,7036.91,17.900449
1587837600000,7036.91,7050.0,7000.0,7030.0,6.496975
1587859200000,7030.0,7057.62,6995.0,7049.99,3.503072
1587880800000,7021.63,7151.84,7011.74,7142.07,9.150075
1587902400000,7151.84,7167.96,7015.06,7066.6,16.921316
1587924000000,7079.24,7171.99,7079.24,7171.99,8.953709
1587945600000,7175.92,7262.27,7139.58,7154.89,18.965801
1587967200000,7184.05,7210.0,7107.99,7182.22,20.80239
1587988800000,7182.22,7182.22,7105.8,7139.95,15.644142
1588010400000,7127.43,7238.42,7119.23,7214.48,14.743256
1588032000000,7214.47,7229.23,7143.0,7164.0,5.068312
1588053600000,7164.0,7200.0,7162.55,7187.64,11.38494
1588075200000,7187.65,7245.0,7162.24,7205.85,41.478636
1588096800000,7201.74,7242.7,7169.73,7237.38,11.88758
1588118400000,7237.37,7342.03,7200.0,7335.37,10.221085
1588140000000,7335.54,7644.76,7314.18,7586.78,76.625771
1588161600000,7606.38,8444.0,7597.49,8072.17,142.731043
1588183200000,8100.0,8280.0,7950.0,8119.93,89.82836
1588204800000,8119.0,8751.77,8096.16,8700.0,44.422926
1588226400000,8700.0,8788.11,7932.12,8291.98,172.733208
1588248000000,8238.52,8281.35,7765.99,7912.55,77.339994
1588269600000,7890.0,8214.85,7885.0,7953.94,46.886267
1588291200000,7965.88,8131.14,7965.13,8131.14,8.818739
1588312800000,8081.3,8377.1,8041.72,8283.7,54.108578
1588334400000,8288.4,8310.0,8000.56,8064.21,67.227981
1588356000000,8064.21,8158.15,8000.56,8073.6,17.65161
1588377600000,8073.85,8114.69,8012.8,8059.14,10.045124
1588399200000,8070.53,8107.19,8000.5,8076.41,17.810598
1588420800000,8102.65,8221.58,8089.75,8183.41,30.126949
1588442400000,8189.41,8200.0,8050.0,8190.72,31.738232
1588464000000,8199.59,8389.0,8166.48,8292.34,34.156528
1588485600000,8291.3,8332.6,8088.29,8253.99,33.014031
1588507200000,8250.49,8252.63,8010.0,8057.0,65.228844
1588528800000,8055.0,8188.56,8041.72,8162.04,22.483557
1588550400000,8159.61,8174.59,7802.95,7932.62,57.143145
1588572000000,7933.0,8045.44,7866.26,7988.63,30.449766
1588593600000,7967.78,8160.0,7958.16,8115.97,27.302838
1588615200000,8115.96,8225.44,8090.28,8179.88,22.292367
1588636800000,8179.89,8355.13,8150.0,8292.54,21.680706999999998
1588658400000,8298.15,8412.13,8102.98,8215.0,49.459051
1588680000000,8215.0,8300.0,8165.0,8259.67,47.576864
1588701600000,8243.92,8391.06,8225.25,8389.0,16.299561
1588723200000,8389.42,8404.05,8300.0,8356.75,7.790184
1588744800000,8357.47,8654.0,8357.42,8654.0,59.526016
1588766400000,8652.8,8680.0,8466.08,8612.88,56.116499
1588788000000,8612.6,8730.0,8457.96,8500.01,35.360362
1588809600000,8544.99,8688.55,8375.0,8631.87,23.939668
1588831200000,8634.37,8700.0,8623.04,8668.2,38.85672
1588852800000,8665.72,9146.0,8646.5,9130.12,121.712468
1588874400000,9122.16,9296.62,9002.81,9221.0,87.600153
1588896000000,9221.0,9272.9,9129.59,9151.94,20.576546
1588917600000,9151.94,9223.08,8963.0,9185.56,50.388561
1588939200000,9182.45,9355.08,9095.54,9262.34,54.043274
1588960800000,9265.34,9280.3,9033.1,9069.71,43.126183
1588982400000,9069.71,9160.05,9003.01,9070.49,28.545655
1589004000000,9070.49,9070.49,8727.42,8889.22,109.273575
1589025600000,8875.11,9056.54,8852.93,9022.29,64.164514
1589047200000,9015.94,9050.44,8778.54,8799.05,59.20676
1589068800000,8800.44,8855.34,7500.87,7924.32,71.309624
1589090400000,7924.32,8224.58,7858.64,8100.0,82.828179
1589112000000,8100.0,8148.0,7610.0,7842.99,78.129904
1589133600000,7867.84,8176.99,7725.9,8087.53,64.77656
1589155200000,8113.83,8172.16,8014.84,8069.14,25.690765
1589176800000,8069.14,8343.52,7830.0,8300.0,57.278114
1589198400000,8308.0,8521.01,7832.39,7896.22,87.191931
1589220000000,7877.01,8194.17,7657.54,7979.97,54.382248
1589241600000,7980.25,8161.79,7935.52,8136.33,9.179674
1589263200000,8133.03,8210.68,8023.49,8178.24,19.321957
1589284800000,8179.01,8350.69,8056.48,8221.48,43.195528
1589306400000,8242.8,8305.92,8129.41,8180.38,18.009407
1589328000000,8190.22,8336.32,8187.49,8255.74,12.73755
1589349600000,8258.33,8418.29,8204.28,8396.88,25.961785
1589371200000,8397.31,8583.55,8351.0,8462.0,42.596772
1589392800000,8469.66,8750.0,8454.16,8670.16,50.324337
1589414400000,8687.0,8782.0,8619.39,8781.99,12.508976
1589436000000,8780.0,9240.0,8766.27,9015.2,124.918587
1589457600000,9015.2,9070.92,8840.5,8935.15,52.62154
1589479200000,8931.0,9200.0,8905.63,9088.71,63.043955
1589500800000,9086.47,9134.91,8500.52,8830.02,37.882987
1589522400000,8852.83,9030.84,8818.96,8941.0,30.558784
1589544000000,8911.0,8940.81,8734.69,8796.41,41.725169
1589565600000,8797.43,8850.0,8446.6,8645.0,43.341638
1589587200000,8645.0,8901.54,8568.25,8788.78,12.194919
1589608800000,8812.98,8850.0,8673.19,8743.99,19.114959
1589630400000,8755.56,8841.55,8626.95,8677.47,20.548485
1589652000000,8645.48,8771.57,8550.94,8716.65,18.991155
1589673600000,8714.19,8884.89,8670.36,8818.65,15.873072
1589695200000,8826.0,8879.32,8799.9,8850.62,15.734325
1589716800000,8852.73,9178.96,8852.73,9050.0,79.99497
1589738400000,9049.54,9080.0,8877.21,8973.37,27.503082
1589760000000,8975.7,9204.53,8949.86,9127.79,30.353244
1589781600000,9137.31,9157.75,8830.9,8950.0,64.247113
